Id,label,Modularity Class
1,"Mary (Lilian) Woodman  Aldrich",1
2,"Thomas Bailey  Aldrich",1
3,"William S.  Andrews",1
4,"Charles Yale  Beach",1
5,"Joseph Watson  Beach",1
6,"Moses Sperry  Beach",1
7,"Henry Ward  Beecher",1
8,"William C.  Beecher",1
9,"John Shaw Billings",1
10,"Hjalmar H. Boyesen",1
11,"Noah  Brooks",1
12,"Clarence Clough  Buel",1
13,"Henry Cuyler  Bunner",1
14,"George Washington  Cable",1
15,"William  Carey",1
16,"Robert  Collyer",1
17,"Stillman S.  Conant",1
18,"Bloodgood Haviland  Cutter",1
19,"Charles C.  Duncan",1
20,"Austin Cornelius  Dunham",1
21,"George Cary  Eggleston",1
22,"Charles S.  Fairchild",1
23,"Mary Hewins  Fox",1
24,"Stephen Ryder  Fiske",1
25,"Daniel Chester  French",1
26,"Charles  Frohman",1
27,"Daniel  Frohman",1
28,"Robert Swain  Gifford",1
29,"Jeannette Leonard  Gilder",1
30,"John E.  Gowen",1
31,"Henry Peters  Gray",1
32,"Joseph Paul Christopher  Hatton",1
33,"Julian  Hawthorne",1
34,"John Milton  Hay",1
35,"Joseph  Howard, Jr.",1
36,"Laurence Hutton",1
37,"Sir Henry Irving",1
38,"Robert Underwood Johnson",1
39,"Charles de Kay",1
40,"Clara Louise Kellogg",1
41,"Jane Elizabeth (Crosby) Kellogg",1
42,"Sara T. Kinney",1
43,"Horatio C. King",1
44,"John Coddington Kinney",1
45,"Thomas W. Knox",1
46,"George Parsons Lathrop",1
47,"charles McKnight Leoser",1
48,"Edward K. Lockwood",1
49,"D. G. MacNeill",1
50,"Brander Matthews",1
51,"Elizabeth (Lily) Millet",1
52,"Francis Davis Millet",1
53,"Helena Modjeska",1
54,"George W. Sheldon",1
55,"Henry L. Pierce",1
56,"Thomas F. Plunkett",1
57,"Nella Brown Pond",1
58,"James B. Pond",1
59,"Samuel L. Clemens",1
60,"Ozias W. Pond",1
61,"Samuel S. Conant",1
62,"R. W. Raymond",1
63,"H. Robinson",1
64,"Dean Sage",1
65,"Napoleon Sarony",1
66,"Horace E. Scudder",1
67,"Wesley E. Sisson",1
68,"Francis Hopkinson Smith",1
69,"Edmund Clarence Stedman",1
70,"Ellen Montague Douglas Stedman",1
71,"Dame Ellen Terry",1
72,"Effie Blunt (“Daisy”) Waring",1
73,"George E. Waring, Jr.",1
74,"Virginia Waring",1
75,"Charles Dudley Warner",1
76,"Charles Watrous",1
77,"Charles G. Whiting",1
78,"Rev. J. Hyatt Smith",1
79,"Henry F. Gillig",1
80,"Lotos Club",2
81,"Plymouth Church",2
82,"The Kinsmen",2
83,"Tile Club",2
84,"Atlantic Monthly",2
85,"Century Magazine",2
86,"Madison Square Theatre",2
87,"Players Club",2
88,"New York Herald",2
89,"New York Times",2
90,"Harper and Bros.",2
91,"Hartford Club",2
92,"Associated Artists",2
93,"Authors Club",2
94,"Society of American Artists",2
95,"Christian Union, The",2
96,"Quaker City Excursion",2
97,"Bret Harte",1
98,"American Copyright League",2
99,"Century Club",2
100,"Fencers Club",2
101,"Richard Watson Gilder",1
102,"New York Press Club",2
103,"New York Commercial Advertiser",2
104,"Monday Evening Club",2
105,"Violet Beach",1
106,"Joseph H. Twichell",1
107,"University Club",2
108,"Boston Authors Club",2
109,"William Dean Howells",1
110,"Papyrus Club, Boston",2
111,"James R. Osgood",1
112,"Pfaff's Cellar bohemians",2
